movie_id,person_id,character
840464,17276,John Garrity
840464,54882,Allison Garrity
1368166,115440,Millie Calloway
1368166,71070,Nina Winchester
1368166,1855143,Andrew Winchester
1368166,2349355,Enzo
1168190,543530,James Hale
1168190,117642,Jonny Hale
1168190,54882,Valentina
1315303,1295282,Lucy
1084242,23532,Nick Wilde (voice)
1084242,690,Gary De'Snake (voice)
1084242,62861,Pawbert Lynxley (voice)
1317288,1190668,Marty Mauser
1317288,12052,Kay Stone
1317288,1972166,Rachel Mizler
1242898,18050,Thia / Tessa
83533,65731,Jake
83533,8691,Neytiri
83533,10205,Kiri
83533,32747,Quaritch
1234731,70851,Doug McCallister
1234731,22226,Ronald Griffin Jr.
1234731,18324,Kenny Trent
858024,1498158,Agnes
1311031,9705,Giyu Tomioka (voice)
1311031,81244,Akaza (voice)
1311031,221773,Shinobu Kocho (voice)
1198994,53714,Linda Liddle
1198994,527393,Bradley Preston
991494,6574,Mr. Krabs / Pirate / Narrator
425274,44735,J. Daniel Atlas
425274,10882,Veronika Vanderberg
425274,57755,Merritt McKinney
24428,3223,Tony Stark / Iron Man
24428,16828,Steve Rogers / Captain America
24428,103,Bruce Banner / The Hulk
24428,74568,Thor
24428,1245,Natasha Romanoff / Black Widow
24428,17604,Clint Barton / Hawkeye
157336,10297,Cooper
157336,1813,Brand
157336,3895,Professor Brand
157336,83002,Murph
575265,500,Ethan Hunt
1246049,572541,Vlad / Dracula
1246049,27319,Priest
1246049,1589101,Maria
1054867,6193,Bob
1054867,2228,Col. Steven J. Lockjaw
1054867,3914706,Willa
1054867,1121,Sensei Sergio St. Carlos
1054867,964679,Perfidia
269149,23532,Nick Wilde (voice)
269149,17605,Chief Bogo (voice)
19995,65731,Jake Sully
19995,8691,Neytiri
19995,10205,Dr. Grace Augustine
19995,32747,Colonel Miles Quaritch
19995,1771,Parker Selfridge
1061474,3292,Lex Luthor
1061474,51797,Guy Gardner
1061474,1428070,Hawkgirl
1233413,135651,Smoke / Stack
1233413,130640,Mary
1233413,85065,Remmick
76600,65731,Jake Sully
76600,8691,Neytiri
76600,10205,Kiri
76600,32747,Colonel Miles Quaritch
76600,204,Ronal
156022,5292,Robert McCall
156022,56734,Teri
156022,35029,Masters
1062722,25072,Victor Frankenstein
1062722,2034418,The Creature
1062722,27319,Harlander
1062722,1137824,Elizabeth / Claire Frankenstein
1062722,4391,Leopold Frankenstein
1228246,27972,Mike
1228246,2283930,Abby
1234821,1245,Zora Bennett
1234821,80860,Dr. Henry Loomis
1234821,36669,Martin Krebs
1234821,1168097,Reuben Delgado
1272837,5469,Dr. Ian Kelson
1272837,85065,Sir Lord Jimmy Crystal
1291608,224223,Hamza Ali Mazari / Jaskirat Singh Rangi
1291608,87328,Rehman Dakait
617126,1253360,Reed Richards / Mister Fantastic
617126,556356,Sue Storm / Invisible Woman
617126,1597365,Johnny Storm / Human Torch
27205,6193,Dom Cobb
27205,24045,Arthur
27205,2524,Eames
27205,27578,Ariadne
1218925,1296667,Angel Devil (voice)
911430,287,Sonny Hayes
1223601,32747,Yeagor Dragunov
155,3894,Bruce Wayne
155,1810,Joker
155,3895,Alfred
155,1579,Rachel
155,64,Gordon
533533,55089,Julian Dillinger
533533,12214,Elisabeth Dillinger
524047,17276,John Garrity
524047,54882,Allison Garrity
1214931,934,Hermann Göring
1214931,17838,Douglas Kelley
634649,1136406,Peter Parker / Spider-Man
634649,505710,MJ
634649,71580,Doctor Strange
634649,15277,Happy Hogan
634649,134,Max Dillon / Electro
1236153,73457,Chris Raven
1236153,933238,Judge Maddox
1087192,2803710,Hiccup
1087192,17276,Stoick
569094,130640,Gwen Stacy (voice)
569094,25072,Miguel O'Hara (voice)
438631,1190668,Paul Atreides
438631,933238,Lady Jessica Atreides
438631,25072,Duke Leto Atreides
438631,117642,Duncan Idaho
438631,1640,Baron Vladimir Harkonnen
798645,83271,Ben Richards
798645,16851,Dan Killian
798645,3905,Molie Jernigan
335984,30614,'K'
335984,3,Rick Deckard
335984,224513,Joi
335984,543530,Sapper Morton
872585,2037,J. Robert Oppenheimer
872585,5081,Kitty Oppenheimer
872585,1892,Leslie Groves
872585,3223,Lewis Strauss
872585,1373737,Jean Tatlock
693134,1190668,Paul Atreides
693134,505710,Chani
693134,933238,Jessica
693134,16851,Gurney Halleck
693134,86654,Feyd-Rautha
315635,1136406,Peter Parker / Spider-Man
315635,2232,Adrian Toomes / Vulture
315635,3223,Tony Stark / Iron Man
315635,3141,May Parker
315635,15277,Happy Hogan
315635,12052,Pepper Potts
361743,500,Capt. Pete 'Maverick' Mitchell
361743,6161,Penny Benjamin
361743,65717,Adm. Beau 'Cyclone' Simpson
533535,10859,Wade Wilson / Deadpool / Nicepool
533535,6968,Logan / Wolverine
533535,15576,Mr. Paradox
533535,1464650,Laura / X-23
533535,15277,Happy Hogan
299534,3223,Tony Stark / Iron Man
299534,16828,Steve Rogers / Captain America
299534,103,Bruce Banner / Hulk
299534,74568,Thor
299534,1245,Natasha Romanoff / Black Widow
299534,17604,Clint Barton / Hawkeye
639988,25002,Yoo Man-su
639988,93999,Choi Seon-chul
639988,141548,Gu Bum-mo
346698,234352,Barbie
346698,30614,Ken
99861,3223,Tony Stark / Iron Man
99861,74568,Thor
99861,103,Bruce Banner / Hulk
99861,16828,Steve Rogers / Captain America
99861,1245,Natasha Romanoff / Black Widow
99861,17604,Clint Barton / Hawkeye
1242419,38673,Jeffrey Manchester
1242419,205,Leigh Wainscott
402431,1620,Madame Morrible
402431,80860,Fiyero
1197306,976,Levon Cade
1197306,454,Joe Garcia
950387,117642,Garrett
950387,70851,Steve
950387,2604515,Natalie
324857,130640,Gwen Stacy (voice)
701387,54693,Michelle
701387,88124,Teddy
1078605,16851,Archer
1078605,30082,Marcus
986056,1373737,Yelena Belova
986056,1700685,Robert Reynolds
986056,35029,Alexei Shostakov
1220564,52583,Armando / Marcelo / Adult Fernando
216015,118545,Anastasia Steele
1100988,27428,Jamie
1100988,5469,Dr. Ian Kelson
414906,11288,Bruce Wayne / The Batman
414906,37153,Selina Kyle
414906,2954,Lt. James Gordon
414906,72466,Oz / The Penguin
414906,1241,Carmine Falcone
475557,73421,Arthur Fleck
475557,380,Murray Franklin
1241982,18918,Maui (voice)
496243,556435,Yeon-kyo
496243,1255881,Ki-woo
198663,527393,Thomas
198663,25663,Newt
198663,93491,Gally
541671,224513,Eve
541671,6384,John Wick
541671,6972,Winston
552524,66193,Stitch (voice)
552524,58225,Jumba
109445,40462,Anna (voice)
822119,3,President Thaddeus Ross
822119,1462,Samuel Sterns
122917,1327,Gandalf the Grey
385687,12835,Dominic Toretto
385687,56446,Jakob
385687,1251069,Ramsey
271110,16828,Steve Rogers / Captain America
271110,3223,Tony Stark / Iron Man
271110,1245,Natasha Romanoff / Black Widow
210577,880,Nick Dunne
210577,10882,Amy Dunne
210577,80602,Tanner Bolt
1197137,2803710,Finn
1197137,569,The Grabber
1197137,3586928,Ernesto
447365,73457,Peter Quill / Star-Lord
447365,8691,Gamora
447365,543530,Drax
447365,12835,Groot (voice)
1038392,17178,Ed Warren
1038392,21657,Lorraine Warren
939243,206,Ivo Robotnik / Gerald Robotnik
939243,6384,Shadow (voice)
939243,17605,Knuckles (voice)
939243,11006,Tom
912649,2524,Eddie Brock / Venom
912649,1115,Detective Mulligan
1022789,1903874,Anxiety (voice)
68718,134,Django Freeman
68718,27319,Dr. King Schultz
68718,6193,Calvin J. Candie
68718,2231,Stephen
68718,27740,Billy Crash
967941,1620,Madame Morrible
967941,80860,Fiyero / The Scarecrow
106646,6193,Jordan Belfort
106646,21007,Donnie Azoff
106646,234352,Naomi Lapaglia
106646,10297,Mark Hanna
106646,3026,Max Belfort
436969,234352,Harley Quinn
436969,17605,Bloodsport
436969,56446,Peacemaker
436969,16483,King Shark (voice)
436969,19492,Amanda Waller
1035259,3896,Frank Drebin Jr.
1184918,1267329,Roz / Rummage (voice)
1184918,1253360,Fink (voice)
1184918,2440,Longneck (voice)
1259102,550843,Joan
1259102,1371041,Luke
76341,2524,Max Rockatansky
76341,6885,Imperator Furiosa
76341,3292,Nux
502356,73457,Mario (voice)
502356,1397778,Princess Peach (voice)
502356,95101,Luigi (voice)
502356,70851,Bowser (voice)
502356,19274,Donkey Kong (voice)
429617,1136406,Peter Parker / Spider-Man
429617,131,Quentin Beck / Mysterio
429617,2231,Nick Fury
429617,3141,May Parker
429617,15277,Happy Hogan
429617,505710,MJ
284054,135651,Erik Killmonger
284054,1267329,Nakia
284054,206919,W'Kabi
519182,4495,Gru (voice)
519182,23659,Maxime (voice)
519182,63522,Valentina (voice)
519182,17743,Margo (voice)
228150,287,Don 'Wardaddy' Collier
228150,10959,Boyd 'Bible' Swan
228150,33235,Norman Ellison
228150,454,Trini 'Gordo' Garcia
228150,19498,Grady 'Coon-Ass' Travis
558449,5292,Macrinus
558449,1253360,General Acacius
558449,935,Lucilla
